X92,Y92,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII
573447.8,270789.6,12,8,31,43,36,108,107,75,40,79,20,21
586265.8,211688.3,22,26,37,80,80,180,217,156,39,78,16,40
661685.3,218983,32,14,42,96,104,132,143,84,22,87,20,55
650317.2,196409.6,24,19,34,99,119,137,116,75,40,98,19,73
651573.7,237226.6,37,11,56,116,114,99,128,118,17,130,10,31
563954.8,270666.3,22,15,51,47,43,117,111,73,28,95,26,31
542043.9,188931.7,72,33,76,103,71,157,174,114,56,125,44,93
677154.4,186095,34,19,49,99,148,184,146,85,32,99,14,75
617581.8,206720.3,27,26,56,106,98,142,179,75,40,56,15,47
650943.5,259454.7,24,12,44,71,73,98,110,63,18,116,18,41
619027,195632.7,11,13,24,75,91,108,151,52,44,53,5,28
523848.6,216608.2,52,44,81,95,71,184,239,103,36,128,33,51
641871.1,242521.7,26,12,56,99,84,103,147,121,24,93,14,26
598095.2,221155.4,16,35,34,98,83,117,158,107,48,113,21,43
572715.6,237427.6,41,41,57,95,64,159,173,84,32,71,27,58
555628.8,272425.1,16,10,58,42,45,131,115,47,35,90,19,21
647049.9,227831.9,21,14,51,84,91,135,143,100,20,103,9,35
580624.5,187514.8,106,59,74,151,105,174,315,150,46,,,
646148.3,172199.6,29,32,37,84,110,118,106,61,52,65,14,71
594729.6,208124.3,15,26,33,72,78,163,231,120,27,79,10,44
557172.7,239091.6,24,20,74,57,53,168,107,51,38,85,25,38
612700.4,210322.6,29,27,46,123,105,134,170,97,34,99,20,36
558224.6,252072.2,32,10,66,56,57,101,115,53,29,88,24,47
615901.5,228922.6,16,19,45,83,107,136,214,128,38,117,14,32
608274,251001.6,13,12,45,50,60,137,120,90,55,94,13,27
536982.5,224092.7,33,24,53,54,70,144,163,61,47,80,28,57
578320.6,180070.2,47,21,51,66,116,108,178,99,62,82,17,54
525081.9,209203.7,63,42,94,121,70,253,273,117,51,125,43,98
592789,250709.4,9,18,,,,,98,47,24,115,18,20
577893.7,209708,52,38,40,111,85,179,208,164,70,102,27,63
570156.7,250363.3,22,17,51,56,64,147,79,70,29,86,20,33
575129.7,235608.1,18,18,65,52,58,177,98,88,24,74,18,33
629181.2,173625.6,40,29,45,83,105,159,133,61,87,91,18,65
605716.2,199063,30,28,46,106,96,143,188,86,43,72,14,57
573679,254116.6,7,11,37,59,91,138,84,107,28,61,16,27
510641.3,227680.6,38,21,85,57,67,178,193,97,33,102,30,54
560402.4,163169.1,38,25,51,104,106,214,173,202,40,80,32,59
631359.7,232985.6,23,17,58,113,84,121,187,128,26,105,18,40
594110.8,243320.4,19,15,49,54,100,134,127,77,30,99,14,35
657804.4,268924,17,6,35,52,103,128,90,46,13,82,13,32
553181.7,279811.1,26,12,64,52,63,100,128,47,40,103,25,70
665678.3,206126.6,24,20,44,95,144,172,150,77,19,93,11,50
561257.8,194672.4,65,24,63,75,86,132,138,118,61,95,39,94
612932.3,199208.6,29,28,50,96,74,106,143,63,40,77,14,39
658128.7,176240.4,28,23,47,67,90,118,129,71,43,78,13,70
606809.1,204643.6,22,18,35,68,138,114,123,69,20,70,18,45
568922.6,159564.6,34,33,58,105,137,213,216,163,61,87,25,53
597363.9,195200.6,38,37,46,104,122,139,197,101,28,78,23,70
529738.7,235163,33,21,84,48,60,137,162,91,21,83,31,23
615219.3,204816.2,32,21,43,105,125,152,216,94,35,87,15,34
538363.8,198166.8,56,34,76,99,84,215,190,144,42,114,33,76
537186.6,194453.7,71,28,73,111,107,228,220,136,60,139,36,86
578639.7,157842.7,,,,106,143,212,271,250,59,87,30,56
620025.1,204920.7,18,24,25,94,112,129,146,71,43,55,12,39
541856.9,213013.1,34,33,72,78,84,171,165,107,50,99,25,52
625343,182802.2,31,30,49,112,145,148,168,76,57,84,26,71
545658.3,188960.9,42,33,66,78,74,127,149,106,50,113,41,70
634431.8,253450.8,22,14,37,65,72,186,122,47,31,109,13,29
631731.9,168126.7,25,17,41,77,77,130,137,128,51,66,12,65
